,wave,flux,flux_err
0,3868.89,0.0,0.0
1,3868.9,0.0,0.0
2,3868.9100000000003,0.0,0.0
3,3868.9200000000005,0.0,0.0
4,3868.9300000000007,0.0,0.0
5,3868.940000000001,0.0,0.0
6,3868.950000000001,0.0,0.0
7,3868.9600000000014,0.0,0.0
8,3868.9700000000016,0.0,0.0
9,3868.980000000002,0.0,0.0
10,3868.990000000002,0.0,0.0
11,3869.0000000000023,0.0,0.0
12,3869.0100000000025,0.0,0.0
13,3869.0200000000027,0.0,0.0
14,3869.030000000003,0.0,0.0
15,3869.040000000003,0.0,0.0
16,3869.0500000000034,0.0,0.0
17,3869.0600000000036,0.0,0.0
18,3869.070000000004,0.0,0.0
19,3869.080000000004,0.0,0.0
20,3869.0900000000042,0.0,0.0
21,3869.1000000000045,0.0,0.0
22,3869.1100000000047,0.0,0.0
23,3869.120000000005,0.0,0.0
24,3869.130000000005,0.0,0.0
25,3869.1400000000053,0.0,0.0
26,3869.1500000000055,0.0,0.0
27,3869.1600000000058,0.0,0.0
28,3869.170000000006,0.0,0.0
29,3869.180000000006,0.0,0.0
30,3869.1900000000064,0.0,0.0
31,3869.2000000000066,0.0,0.0
32,3869.210000000007,0.0,0.0
33,3869.220000000007,0.0,0.0
34,3869.2300000000073,0.0,0.0
35,3869.2400000000075,0.0,0.0
36,3869.2500000000077,0.0,0.0
37,3869.260000000008,0.0,0.0
38,3869.270000000008,0.0,0.0
39,3869.2800000000084,0.0,0.0
40,3869.2900000000086,0.0,0.0
41,3869.300000000009,0.0,0.0
42,3869.310000000009,0.0,0.0
43,3869.3200000000093,0.0,0.0
44,3869.3300000000095,0.0,0.0
45,3869.3400000000097,0.0,0.0
46,3869.35000000001,0.0,0.0
47,3869.36000000001,0.0,0.0
48,3869.3700000000104,0.0,0.0
49,3869.3800000000106,0.0,0.0
50,3869.390000000011,0.0,0.0
51,3869.400000000011,0.0,0.0
52,3869.410000000011,0.0,0.0
53,3869.4200000000114,0.0,0.0
54,3869.4300000000117,0.0,0.0
55,3869.440000000012,0.0,0.0
56,3869.450000000012,0.0,0.0
57,3869.4600000000123,0.0,0.0
58,3869.4700000000125,0.0,0.0
59,3869.4800000000128,0.0,0.0
60,3869.490000000013,0.0,0.0
61,3869.500000000013,0.0,0.0
62,3869.5100000000134,0.0,0.0
63,3869.5200000000136,0.0,0.0
64,3869.530000000014,0.0,0.0
65,3869.540000000014,0.0,0.0
66,3869.5500000000143,0.0,0.0
67,3869.5600000000145,0.0,0.0
68,3869.5700000000147,0.0,0.0
69,3869.580000000015,0.0,0.0
70,3869.590000000015,0.0,0.0
71,3869.6000000000154,0.0,0.0
72,3869.6100000000156,0.0,0.0
73,3869.620000000016,0.0,0.0
74,3869.630000000016,0.0,0.0
75,3869.6400000000162,0.0,0.0
76,3869.6500000000165,0.0,0.0
77,3869.6600000000167,0.0,0.0
78,3869.670000000017,0.0,0.0
79,3869.680000000017,0.0,0.0
80,3869.6900000000173,0.0,0.0
81,3869.7000000000176,0.0,0.0
82,3869.7100000000178,0.0,0.0
83,3869.720000000018,0.0,0.0
84,3869.730000000018,0.0,0.0
85,3869.7400000000184,0.0,0.0
86,3869.7500000000186,0.0,0.0
87,3869.760000000019,0.0,0.0
88,3869.770000000019,0.0,0.0
89,3869.7800000000193,0.0,0.0
90,3869.7900000000195,0.0,0.0
91,3869.8000000000197,0.0,0.0
92,3869.81000000002,0.0,0.0
93,3869.82000000002,0.0,0.0
94,3869.8300000000204,0.0,0.0
95,3869.8400000000206,0.0,0.0
96,3869.850000000021,0.0,0.0
97,3869.860000000021,0.0,0.0
98,3869.8700000000213,0.0,0.0
99,3869.8800000000215,0.0,0.0
100,3869.8900000000217,0.0,0.0
101,3869.900000000022,0.0,0.0
102,3869.910000000022,0.0,0.0
103,3869.9200000000224,0.0,0.0
104,3869.9300000000226,0.0,0.0
105,3869.940000000023,0.0,0.0
106,3869.950000000023,0.0,0.0
107,3869.9600000000232,0.0,0.0
108,3869.9700000000234,0.0,0.0
109,3869.9800000000237,0.0,0.0
110,3869.990000000024,0.0,0.0
111,3870.000000000024,0.0,0.0
112,3870.0100000000243,0.0,0.0
113,3870.0200000000245,0.0,0.0
114,3870.0300000000248,0.0,0.0
115,3870.040000000025,0.0,0.0
116,3870.050000000025,0.0,0.0
117,3870.0600000000254,0.0,0.0
118,3870.0700000000256,0.0,0.0
119,3870.080000000026,0.0,0.0
120,3870.090000000026,0.0,0.0
121,3870.1000000000263,0.0,0.0
122,3870.1100000000265,0.0,0.0
123,3870.1200000000267,0.0,0.0
124,3870.130000000027,0.0,0.0
125,3870.140000000027,0.0,0.0
126,3870.1500000000274,0.0,0.0
127,3870.1600000000276,0.0,0.0
128,3870.170000000028,0.0,0.0
129,3870.180000000028,0.0,0.0
130,3870.1900000000282,0.0,0.0
131,3870.2000000000285,0.0,0.0
132,3870.2100000000287,0.0,0.0
133,3870.220000000029,0.0,0.0
134,3870.230000000029,0.0,0.0
135,3870.2400000000293,0.0,0.0
136,3870.2500000000296,0.0,0.0
137,3870.26000000003,0.0,0.0
138,3870.27000000003,0.0,0.0
139,3870.28000000003,0.0,0.0
140,3870.2900000000304,0.0,0.0
141,3870.3000000000306,0.0,0.0
142,3870.310000000031,0.0,0.0
143,3870.320000000031,0.0,0.0
144,3870.3300000000313,0.0,0.0
145,3870.3400000000315,0.0,0.0
146,3870.3500000000317,0.0,0.0
147,3870.360000000032,0.0,0.0
148,3870.370000000032,0.0,0.0
149,3870.3800000000324,0.0,0.0
150,3870.3900000000326,0.0,0.0
151,3870.400000000033,0.0,0.0
152,3870.410000000033,0.0,0.0
153,3870.4200000000333,0.0,0.0
154,3870.4300000000335,0.0,0.0
155,3870.4400000000337,0.0,0.0
156,3870.450000000034,0.0,0.0
157,3870.460000000034,0.0,0.0
158,3870.4700000000344,0.0,0.0
159,3870.4800000000346,0.0,0.0
160,3870.490000000035,0.0,0.0
161,3870.500000000035,0.0,0.0
162,3870.5100000000352,0.0,0.0
163,3870.5200000000355,0.0,0.0
164,3870.5300000000357,0.0,0.0
165,3870.540000000036,0.0,0.0
166,3870.550000000036,0.0,0.0
167,3870.5600000000363,0.0,0.0
168,3870.5700000000365,0.0,0.0
169,3870.5800000000368,0.0,0.0
170,3870.590000000037,0.0,0.0
171,3870.600000000037,0.0,0.0
172,3870.6100000000374,0.0,0.0
173,3870.6200000000376,0.0,0.0
174,3870.630000000038,0.0,0.0
175,3870.640000000038,0.0,0.0
176,3870.6500000000383,0.0,0.0
177,3870.6600000000385,0.0,0.0
178,3870.6700000000387,0.0,0.0
179,3870.680000000039,0.0,0.0
180,3870.690000000039,0.0,0.0
181,3870.7000000000394,0.0,0.0
182,3870.7100000000396,0.0,0.0
183,3870.72000000004,0.0,0.0
184,3870.73000000004,0.0,0.0
185,3870.7400000000403,0.0,0.0
186,3870.7500000000405,0.0,0.0
187,3870.7600000000407,0.0,0.0
188,3870.770000000041,0.0,0.0
189,3870.780000000041,0.0,0.0
190,3870.7900000000413,0.0,0.0
191,3870.8000000000416,0.0,0.0
192,3870.810000000042,0.0,0.0
193,3870.820000000042,0.0,0.0
194,3870.830000000042,0.0,0.0
195,3870.8400000000424,0.0,0.0
196,3870.8500000000427,0.0,0.0
197,3870.860000000043,0.0,0.0
198,3870.870000000043,0.0,0.0
199,3870.8800000000433,0.0,0.0
200,3870.8900000000435,0.0,0.0
201,3870.9000000000437,0.0,0.0
202,3870.910000000044,0.0,0.0
203,3870.920000000044,0.0,0.0
204,3870.9300000000444,0.0,0.0
205,3870.9400000000446,0.0,0.0
206,3870.950000000045,0.0,0.0
207,3870.960000000045,0.0,0.0
208,3870.9700000000453,0.0,0.0
209,3870.9800000000455,0.0,0.0
210,3870.9900000000457,0.0,0.0
211,3871.000000000046,0.0,0.0
212,3871.010000000046,0.0,0.0
213,3871.0200000000464,0.0,0.0
214,3871.0300000000466,0.0,0.0
215,3871.040000000047,0.0,0.0
216,3871.050000000047,0.0,0.0
217,3871.0600000000472,0.0,0.0
218,3871.0700000000475,0.0,0.0
219,3871.0800000000477,0.0,0.0
220,3871.090000000048,0.0,0.0
221,3871.100000000048,0.0,0.0
222,3871.1100000000483,0.0,0.0
223,3871.1200000000485,0.0,0.0
224,3871.1300000000488,0.0,0.0
225,3871.140000000049,0.0,0.0
226,3871.150000000049,0.0,0.0
227,3871.1600000000494,0.0,0.0
228,3871.1700000000496,0.0,0.0
229,3871.18000000005,0.0,0.0
230,3871.19000000005,0.0,0.0
231,3871.2000000000503,0.0,0.0
232,3871.2100000000505,0.0,0.0
233,3871.2200000000507,0.0,0.0
234,3871.230000000051,0.0,0.0
235,3871.240000000051,0.0,0.0
236,3871.2500000000514,0.0,0.0
237,3871.2600000000516,0.0,0.0
238,3871.270000000052,0.0,0.0
239,3871.280000000052,0.0,0.0
240,3871.2900000000523,0.0,0.0
241,3871.3000000000525,0.0,0.0
242,3871.3100000000527,0.0,0.0
243,3871.320000000053,0.0,0.0
244,3871.330000000053,0.0,0.0
245,3871.3400000000534,0.0,0.0
246,3871.3500000000536,0.0,0.0
247,3871.360000000054,0.0,0.0
248,3871.370000000054,0.0,0.0
249,3871.380000000054,0.0,0.0
250,3871.3900000000544,0.0,0.0
251,3871.4000000000547,0.0,0.0
252,3871.410000000055,0.0,0.0
253,3871.420000000055,0.0,0.0
254,3871.4300000000553,0.0,0.0
255,3871.4400000000555,0.0,0.0
256,3871.4500000000558,0.0,0.0
257,3871.460000000056,0.0,0.0
258,3871.470000000056,0.0,0.0
259,3871.4800000000564,0.0,0.0
260,3871.4900000000566,0.0,0.0
261,3871.500000000057,0.0,0.0
262,3871.510000000057,0.0,0.0
263,3871.5200000000573,0.0,0.0
264,3871.5300000000575,0.0,0.0
265,3871.5400000000577,0.0,0.0
266,3871.550000000058,0.0,0.0
267,3871.560000000058,0.0,0.0
268,3871.5700000000584,0.0,0.0
269,3871.5800000000586,0.0,0.0
270,3871.590000000059,0.0,0.0
271,3871.600000000059,0.0,0.0
272,3871.6100000000592,0.0,0.0
273,3871.6200000000595,0.0,0.0
274,3871.6300000000597,0.0,0.0
275,3871.64000000006,0.0,0.0
276,3871.65000000006,0.0,0.0
277,3871.6600000000603,0.0,0.0
278,3871.6700000000606,0.0,0.0
279,3871.6800000000608,0.0,0.0
280,3871.690000000061,0.0,0.0
281,3871.700000000061,0.0,0.0
282,3871.7100000000614,0.0,0.0
283,3871.7200000000616,0.0,0.0
284,3871.730000000062,0.0,0.0
285,3871.740000000062,0.0,0.0
286,3871.7500000000623,0.0,0.0
287,3871.7600000000625,0.0,0.0
288,3871.7700000000627,0.0,0.0
289,3871.780000000063,0.0,0.0
290,3871.790000000063,0.0,0.0
291,3871.8000000000634,0.0,0.0
292,3871.8100000000636,0.0,0.0
293,3871.820000000064,0.0,0.0
294,3871.830000000064,0.0,0.0
295,3871.8400000000643,0.0,0.0
296,3871.8500000000645,0.0,0.0
297,3871.8600000000647,0.0,0.0
298,3871.870000000065,0.0,0.0
299,3871.880000000065,0.0,0.0
300,3871.8900000000654,0.0,0.0
301,3871.9000000000656,0.0,0.0
302,3871.910000000066,0.0,0.0
303,3871.920000000066,0.0,0.0
304,3871.9300000000662,0.0,0.0
305,3871.9400000000664,0.0,0.0
306,3871.9500000000667,0.0,0.0
307,3871.960000000067,0.0,0.0
308,3871.970000000067,0.0,0.0
309,3871.9800000000673,0.0,0.0
310,3871.9900000000675,0.0,0.0
311,3872.0000000000678,0.0,0.0
312,3872.010000000068,0.0,0.0
313,3872.020000000068,0.0,0.0
314,3872.0300000000684,0.0,0.0
315,3872.0400000000686,0.0,0.0
316,3872.050000000069,0.0,0.0
317,3872.060000000069,0.0,0.0
318,3872.0700000000693,0.0,0.0
319,3872.0800000000695,0.0,0.0
320,3872.0900000000697,0.0,0.0
321,3872.10000000007,0.0,0.0
322,3872.11000000007,0.0,0.0
323,3872.1200000000704,0.0,0.0
324,3872.1300000000706,0.0,0.0
325,3872.140000000071,0.0,0.0
326,3872.150000000071,0.0,0.0
327,3872.1600000000712,0.0,0.0
328,3872.1700000000715,0.0,0.0
329,3872.1800000000717,0.0,0.0
330,3872.190000000072,0.0,0.0
331,3872.200000000072,0.0,0.0
332,3872.2100000000723,0.0,0.0
333,3872.2200000000726,0.0,0.0
334,3872.230000000073,0.0,0.0
335,3872.240000000073,0.0,0.0
336,3872.250000000073,0.0,0.0
337,3872.2600000000734,0.0,0.0
338,3872.2700000000737,0.0,0.0
339,3872.280000000074,0.0,0.0
340,3872.290000000074,0.0,0.0
341,3872.3000000000743,0.0,0.0
342,3872.3100000000745,0.0,0.0
343,3872.3200000000747,0.0,0.0
