,wave,flux,flux_err
0,3800.0,0.0,0.0
1,3800.01,0.0,0.0
2,3800.02,0.0,0.0
3,3800.03,0.0,0.0
4,3800.04,0.0,0.0
5,3800.05,0.0,0.0
6,3800.06,0.0,0.0
7,3800.07,0.0,0.0
8,3800.08,0.0,0.0
9,3800.09,0.0,0.0
10,3800.1,0.0,0.0
11,3800.11,0.0,0.0
12,3800.12,0.0,0.0
13,3800.13,0.0,0.0
14,3800.14,0.0,0.0
15,3800.15,0.0,0.0
16,3800.16,0.0,0.0
17,3800.17,0.0,0.0
18,3800.18,0.0,0.0
19,3800.19,0.0,0.0
20,3800.2,0.0,0.0
21,3800.21,0.0,0.0
22,3800.22,0.0,0.0
23,3800.23,0.0,0.0
24,3800.24,0.0,0.0
25,3800.25,0.0,0.0
26,3800.26,0.0,0.0
27,3800.27,0.0,0.0
28,3800.28,0.0,0.0
29,3800.29,0.0,0.0
30,3800.3,0.0,0.0
31,3800.31,0.0,0.0
32,3800.32,0.0,0.0
33,3800.33,0.0,0.0
34,3800.34,0.0,0.0
35,3800.35,0.0,0.0
36,3800.36,0.0,0.0
37,3800.37,0.0,0.0
38,3800.38,0.0,0.0
39,3800.39,0.0,0.0
40,3800.4,0.0,0.0
41,3800.41,0.0,0.0
42,3800.42,0.0,0.0
43,3800.43,0.0,0.0
44,3800.44,0.0,0.0
45,3800.45,0.0,0.0
46,3800.46,0.0,0.0
47,3800.47,0.0,0.0
48,3800.48,0.0,0.0
49,3800.49,0.0,0.0
50,3800.5,0.0,0.0
51,3800.51,0.0,0.0
52,3800.52,0.0,0.0
53,3800.53,0.0,0.0
54,3800.54,0.0,0.0
55,3800.55,0.0,0.0
56,3800.56,0.0,0.0
57,3800.57,0.0,0.0
58,3800.58,0.0,0.0
59,3800.59,0.0,0.0
60,3800.6,0.0,0.0
61,3800.61,0.0,0.0
62,3800.62,0.0,0.0
63,3800.63,0.0,0.0
64,3800.64,0.0,0.0
65,3800.65,0.0,0.0
66,3800.66,0.0,0.0
67,3800.67,0.0,0.0
68,3800.68,0.0,0.0
69,3800.69,0.0,0.0
70,3800.7,0.0,0.0
71,3800.71,0.0,0.0
72,3800.72,0.0,0.0
73,3800.73,0.0,0.0
74,3800.74,0.0,0.0
75,3800.75,0.0,0.0
76,3800.76,0.0,0.0
77,3800.77,0.0,0.0
78,3800.78,0.0,0.0
79,3800.79,0.0,0.0
80,3800.8,0.0,0.0
81,3800.81,0.0,0.0
82,3800.82,0.0,0.0
83,3800.83,0.0,0.0
84,3800.84,0.0,0.0
85,3800.85,0.0,0.0
86,3800.86,0.0,0.0
87,3800.87,0.0,0.0
88,3800.88,0.0,0.0
89,3800.89,0.0,0.0
90,3800.9,0.0,0.0
91,3800.91,0.0,0.0
92,3800.92,0.0,0.0
93,3800.93,0.0,0.0
94,3800.94,0.0,0.0
95,3800.95,0.0,0.0
96,3800.96,0.0,0.0
97,3800.97,0.0,0.0
98,3800.98,0.0,0.0
99,3800.99,0.0,0.0
100,3801.0,0.0,0.0
101,3801.01,0.0,0.0
102,3801.02,0.0,0.0
103,3801.03,0.0,0.0
104,3801.04,0.0,0.0
105,3801.05,0.0,0.0
106,3801.06,0.0,0.0
107,3801.07,0.0,0.0
108,3801.08,0.0,0.0
109,3801.09,0.0,0.0
110,3801.1,0.0,0.0
111,3801.11,0.0,0.0
112,3801.12,0.0,0.0
113,3801.13,0.0,0.0
114,3801.14,0.0,0.0
115,3801.15,0.0,0.0
116,3801.16,0.0,0.0
117,3801.17,0.0,0.0
118,3801.18,0.0,0.0
119,3801.19,0.0,0.0
120,3801.2,0.0,0.0
121,3801.21,0.0,0.0
122,3801.22,0.0,0.0
123,3801.23,0.0,0.0
124,3801.24,0.0,0.0
125,3801.25,0.0,0.0
126,3801.26,0.0,0.0
127,3801.27,0.0,0.0
128,3801.28,0.0,0.0
129,3801.29,0.0,0.0
130,3801.3,0.0,0.0
131,3801.31,0.0,0.0
132,3801.32,0.0,0.0
133,3801.33,0.0,0.0
134,3801.34,0.0,0.0
135,3801.35,0.0,0.0
136,3801.36,0.0,0.0
137,3801.37,0.0,0.0
138,3801.38,0.0,0.0
139,3801.39,0.0,0.0
140,3801.4,0.0,0.0
141,3801.41,0.0,0.0
142,3801.42,0.0,0.0
143,3801.43,0.0,0.0
144,3801.44,0.0,0.0
145,3801.45,0.0,0.0
146,3801.46,0.0,0.0
147,3801.47,0.0,0.0
148,3801.48,0.0,0.0
149,3801.49,0.0,0.0
150,3801.5,0.0,0.0
151,3801.51,0.0,0.0
152,3801.52,0.0,0.0
153,3801.53,0.0,0.0
154,3801.54,0.0,0.0
155,3801.55,0.0,0.0
156,3801.56,0.0,0.0
157,3801.57,0.0,0.0
158,3801.58,0.0,0.0
159,3801.59,0.0,0.0
160,3801.6,0.0,0.0
161,3801.61,0.0,0.0
162,3801.62,0.0,0.0
163,3801.63,0.0,0.0
164,3801.64,0.0,0.0
165,3801.65,0.0,0.0
166,3801.66,0.0,0.0
167,3801.67,0.0,0.0
168,3801.68,0.0,0.0
169,3801.69,0.0,0.0
170,3801.7,0.0,0.0
171,3801.71,0.0,0.0
172,3801.72,0.0,0.0
173,3801.73,0.0,0.0
174,3801.74,0.0,0.0
175,3801.75,0.0,0.0
176,3801.76,0.0,0.0
177,3801.77,0.0,0.0
178,3801.78,0.0,0.0
179,3801.79,0.0,0.0
180,3801.8,0.0,0.0
181,3801.81,0.0,0.0
182,3801.82,0.0,0.0
183,3801.83,0.0,0.0
184,3801.84,0.0,0.0
185,3801.85,0.0,0.0
186,3801.86,0.0,0.0
187,3801.87,0.0,0.0
188,3801.88,0.0,0.0
189,3801.89,0.0,0.0
190,3801.9,0.0,0.0
191,3801.91,0.0,0.0
192,3801.92,0.0,0.0
193,3801.93,0.0,0.0
194,3801.94,0.0,0.0
195,3801.95,0.0,0.0
196,3801.96,0.0,0.0
197,3801.97,0.0,0.0
198,3801.98,0.0,0.0
199,3801.99,0.0,0.0
200,3802.0,0.0,0.0
201,3802.01,0.0,0.0
202,3802.02,0.0,0.0
203,3802.03,0.0,0.0
204,3802.04,0.0,0.0
205,3802.05,0.0,0.0
206,3802.06,0.0,0.0
207,3802.07,0.0,0.0
208,3802.08,0.0,0.0
209,3802.09,0.0,0.0
210,3802.1,0.0,0.0
211,3802.11,0.0,0.0
212,3802.12,0.0,0.0
213,3802.13,0.0,0.0
214,3802.14,0.0,0.0
215,3802.15,0.0,0.0
216,3802.16,0.0,0.0
217,3802.17,0.0,0.0
218,3802.18,0.0,0.0
219,3802.19,0.0,0.0
220,3802.2,0.0,0.0
221,3802.21,0.0,0.0
222,3802.22,0.0,0.0
223,3802.23,0.0,0.0
224,3802.24,0.0,0.0
225,3802.25,0.0,0.0
226,3802.26,0.0,0.0
227,3802.27,0.0,0.0
228,3802.28,0.0,0.0
229,3802.29,0.0,0.0
230,3802.3,0.0,0.0
231,3802.31,0.0,0.0
232,3802.32,0.0,0.0
233,3802.33,0.0,0.0
234,3802.34,0.0,0.0
235,3802.35,0.0,0.0
236,3802.36,0.0,0.0
237,3802.37,0.0,0.0
238,3802.38,0.0,0.0
239,3802.39,0.0,0.0
240,3802.4,0.0,0.0
241,3802.41,0.0,0.0
242,3802.42,0.0,0.0
243,3802.43,0.0,0.0
244,3802.44,0.0,0.0
245,3802.45,0.0,0.0
246,3802.46,0.0,0.0
247,3802.47,0.0,0.0
248,3802.48,0.0,0.0
249,3802.49,0.0,0.0
250,3802.5,0.0,0.0
251,3802.51,0.0,0.0
252,3802.52,0.0,0.0
253,3802.53,0.0,0.0
254,3802.54,0.0,0.0
255,3802.55,0.0,0.0
256,3802.56,0.0,0.0
257,3802.57,0.0,0.0
258,3802.58,0.0,0.0
259,3802.59,0.0,0.0
260,3802.6,0.0,0.0
261,3802.61,0.0,0.0
262,3802.62,0.0,0.0
263,3802.63,0.0,0.0
264,3802.64,0.0,0.0
265,3802.65,0.0,0.0
266,3802.66,0.0,0.0
267,3802.67,0.0,0.0
268,3802.68,0.0,0.0
269,3802.69,0.0,0.0
270,3802.7,0.0,0.0
271,3802.71,0.0,0.0
272,3802.72,0.0,0.0
273,3802.73,0.0,0.0
274,3802.74,0.0,0.0
275,3802.75,0.0,0.0
276,3802.76,0.0,0.0
277,3802.77,0.0,0.0
278,3802.78,0.0,0.0
279,3802.79,0.0,0.0
280,3802.8,0.0,0.0
281,3802.81,0.0,0.0
282,3802.82,0.0,0.0
283,3802.83,0.0,0.0
284,3802.84,0.0,0.0
285,3802.85,0.0,0.0
286,3802.86,0.0,0.0
287,3802.87,0.0,0.0
288,3802.88,0.0,0.0
289,3802.89,0.0,0.0
290,3802.9,0.0,0.0
291,3802.91,0.0,0.0
292,3802.92,0.0,0.0
293,3802.93,0.0,0.0
294,3802.94,0.0,0.0
295,3802.95,0.0,0.0
296,3802.96,0.0,0.0
297,3802.97,0.0,0.0
298,3802.98,0.0,0.0
299,3802.99,0.0,0.0
300,3803.0,0.0,0.0
301,3803.01,0.0,0.0
302,3803.02,0.0,0.0
303,3803.03,0.0,0.0
304,3803.04,0.0,0.0
305,3803.05,0.0,0.0
306,3803.06,0.0,0.0
307,3803.07,0.0,0.0
308,3803.08,0.0,0.0
309,3803.09,0.0,0.0
310,3803.1,0.0,0.0
311,3803.11,0.0,0.0
312,3803.12,0.0,0.0
313,3803.13,0.0,0.0
314,3803.14,0.0,0.0
315,3803.15,0.0,0.0
316,3803.16,0.0,0.0
317,3803.17,0.0,0.0
318,3803.18,0.0,0.0
319,3803.19,0.0,0.0
320,3803.2,0.0,0.0
321,3803.21,0.0,0.0
322,3803.22,0.0,0.0
323,3803.23,0.0,0.0
324,3803.24,0.0,0.0
325,3803.25,0.0,0.0
326,3803.26,0.0,0.0
327,3803.27,0.0,0.0
328,3803.28,0.0,0.0
329,3803.29,0.0,0.0
330,3803.3,0.0,0.0
331,3803.31,0.0,0.0
332,3803.32,0.0,0.0
333,3803.33,0.0,0.0
334,3803.34,0.0,0.0
335,3803.35,0.0,0.0
336,3803.36,0.0,0.0
337,3803.37,0.0,0.0
338,3803.38,0.0,0.0
339,3803.39,0.0,0.0
340,3803.4,0.0,0.0
341,3803.41,0.0,0.0
342,3803.42,0.0,0.0
343,3803.43,0.0,0.0
344,3803.44,0.0,0.0
345,3803.45,0.0,0.0
346,3803.46,0.0,0.0
347,3803.47,0.0,0.0
348,3803.48,0.0,0.0
349,3803.49,0.0,0.0
350,3803.5,0.0,0.0
351,3803.51,0.0,0.0
352,3803.52,0.0,0.0
353,3803.53,0.0,0.0
354,3803.54,0.0,0.0
355,3803.55,0.0,0.0
356,3803.56,0.0,0.0
357,3803.57,0.0,0.0
358,3803.58,0.0,0.0
359,3803.59,0.0,0.0
360,3803.6,0.0,0.0
361,3803.61,0.0,0.0
362,3803.62,0.0,0.0
363,3803.63,0.0,0.0
364,3803.64,0.0,0.0
365,3803.65,0.0,0.0
366,3803.66,0.0,0.0
367,3803.67,0.0,0.0
368,3803.68,0.0,0.0
369,3803.69,0.0,0.0
370,3803.7,0.0,0.0
371,3803.71,0.0,0.0
372,3803.72,0.0,0.0
373,3803.73,0.0,0.0
374,3803.74,0.0,0.0
375,3803.75,0.0,0.0
376,3803.76,0.0,0.0
377,3803.77,0.0,0.0
378,3803.78,0.0,0.0
379,3803.79,0.0,0.0
380,3803.8,0.0,0.0
381,3803.81,0.0,0.0
382,3803.82,0.0,0.0
383,3803.83,0.0,0.0
384,3803.84,0.0,0.0
385,3803.85,0.0,0.0
386,3803.86,0.0,0.0
387,3803.87,0.0,0.0
388,3803.88,0.0,0.0
389,3803.89,0.0,0.0
390,3803.9,0.0,0.0
391,3803.91,0.0,0.0
392,3803.92,0.0,0.0
393,3803.93,0.0,0.0
394,3803.94,0.0,0.0
395,3803.95,0.0,0.0
396,3803.96,0.0,0.0
397,3803.97,0.0,0.0
398,3803.98,0.0,0.0
399,3803.99,0.0,0.0
400,3804.0,0.0,0.0
401,3804.01,0.0,0.0
402,3804.02,0.0,0.0
403,3804.03,0.0,0.0
404,3804.04,0.0,0.0
405,3804.05,0.0,0.0
406,3804.06,0.0,0.0
407,3804.07,0.0,0.0
408,3804.08,0.0,0.0
409,3804.09,0.0,0.0
410,3804.1,0.0,0.0
411,3804.11,0.0,0.0
412,3804.12,0.0,0.0
413,3804.13,0.0,0.0
414,3804.14,0.0,0.0
415,3804.15,0.0,0.0
416,3804.16,0.0,0.0
417,3804.17,0.0,0.0
418,3804.18,0.0,0.0
419,3804.19,0.0,0.0
420,3804.2,0.0,0.0
421,3804.21,0.0,0.0
422,3804.22,0.0,0.0
423,3804.23,0.0,0.0
424,3804.24,0.0,0.0
425,3804.25,0.0,0.0
426,3804.26,0.0,0.0
427,3804.27,0.0,0.0
428,3804.28,0.0,0.0
429,3804.29,0.0,0.0
430,3804.3,0.0,0.0
431,3804.31,0.0,0.0
432,3804.32,0.0,0.0
433,3804.33,0.0,0.0
434,3804.34,0.0,0.0
435,3804.35,0.0,0.0
436,3804.36,0.0,0.0
437,3804.37,0.0,0.0
438,3804.38,0.0,0.0
439,3804.39,0.0,0.0
440,3804.4,0.0,0.0
441,3804.41,0.0,0.0
442,3804.42,0.0,0.0
443,3804.43,0.0,0.0
444,3804.44,0.0,0.0
445,3804.45,0.0,0.0
446,3804.46,0.0,0.0
447,3804.47,0.0,0.0
448,3804.48,0.0,0.0
449,3804.49,0.0,0.0
450,3804.5,0.0,0.0
451,3804.51,0.0,0.0
452,3804.52,0.0,0.0
453,3804.53,0.0,0.0
454,3804.54,0.0,0.0
455,3804.55,0.0,0.0
456,3804.56,0.0,0.0
457,3804.57,0.0,0.0
458,3804.58,0.0,0.0
459,3804.59,0.0,0.0
460,3804.6,0.0,0.0
461,3804.61,0.0,0.0
462,3804.62,0.0,0.0
463,3804.63,0.0,0.0
464,3804.64,0.0,0.0
465,3804.65,0.0,0.0
466,3804.66,0.0,0.0
467,3804.67,0.0,0.0
468,3804.68,0.0,0.0
469,3804.69,0.0,0.0
470,3804.7,0.0,0.0
471,3804.71,0.0,0.0
472,3804.72,0.0,0.0
473,3804.73,0.0,0.0
474,3804.74,0.0,0.0
475,3804.75,0.0,0.0
476,3804.76,0.0,0.0
477,3804.77,0.0,0.0
478,3804.78,0.0,0.0
479,3804.79,0.0,0.0
480,3804.8,0.0,0.0
481,3804.81,0.0,0.0
482,3804.82,0.0,0.0
483,3804.83,0.0,0.0
484,3804.84,0.0,0.0
485,3804.85,0.0,0.0
486,3804.86,0.0,0.0
487,3804.87,0.0,0.0
488,3804.88,0.0,0.0
489,3804.89,0.0,0.0
490,3804.9,0.0,0.0
491,3804.91,0.0,0.0
492,3804.92,0.0,0.0
493,3804.93,0.0,0.0
494,3804.94,0.0,0.0
495,3804.95,0.0,0.0
496,3804.96,0.0,0.0
497,3804.97,0.0,0.0
498,3804.98,0.0,0.0
499,3804.99,0.0,0.0
500,3805.0,0.0,0.0
501,3805.01,0.0,0.0
502,3805.02,0.0,0.0
503,3805.03,0.0,0.0
504,3805.04,0.0,0.0
505,3805.05,0.0,0.0
506,3805.06,0.0,0.0
507,3805.07,0.0,0.0
508,3805.08,0.0,0.0
509,3805.09,0.0,0.0
510,3805.1,0.0,0.0
511,3805.11,0.0,0.0
512,3805.12,0.0,0.0
513,3805.13,0.0,0.0
514,3805.14,0.0,0.0
515,3805.15,0.0,0.0
516,3805.16,0.0,0.0
517,3805.17,0.0,0.0
518,3805.18,0.0,0.0
519,3805.19,0.0,0.0
520,3805.2,0.0,0.0
521,3805.21,0.0,0.0
522,3805.22,0.0,0.0
523,3805.23,0.0,0.0
524,3805.24,0.0,0.0
525,3805.25,0.0,0.0
526,3805.26,0.0,0.0
527,3805.27,0.0,0.0
528,3805.28,0.0,0.0
529,3805.29,0.0,0.0
530,3805.3,0.0,0.0
531,3805.31,0.0,0.0
532,3805.32,0.0,0.0
533,3805.33,0.0,0.0
534,3805.34,0.0,0.0
535,3805.35,0.0,0.0
536,3805.36,0.0,0.0
537,3805.37,0.0,0.0
538,3805.38,0.0,0.0
539,3805.39,0.0,0.0
540,3805.4,0.0,0.0
541,3805.41,0.0,0.0
542,3805.42,0.0,0.0
543,3805.43,0.0,0.0
544,3805.44,0.0,0.0
545,3805.45,0.0,0.0
546,3805.46,0.0,0.0
547,3805.47,0.0,0.0
548,3805.48,0.0,0.0
549,3805.49,0.0,0.0
550,3805.5,0.0,0.0
551,3805.51,0.0,0.0
552,3805.52,0.0,0.0
553,3805.53,0.0,0.0
554,3805.54,0.0,0.0
555,3805.55,0.0,0.0
556,3805.56,0.0,0.0
557,3805.57,0.0,0.0
558,3805.58,0.0,0.0
559,3805.59,0.0,0.0
560,3805.6,0.0,0.0
561,3805.61,0.0,0.0
562,3805.62,0.0,0.0
563,3805.63,0.0,0.0
564,3805.64,0.0,0.0
565,3805.65,0.0,0.0
566,3805.66,0.0,0.0
567,3805.67,0.0,0.0
568,3805.68,0.0,0.0
569,3805.69,0.0,0.0
570,3805.7,0.0,0.0
571,3805.71,0.0,0.0
572,3805.72,0.0,0.0
573,3805.73,0.0,0.0
574,3805.74,0.0,0.0
575,3805.75,0.0,0.0
576,3805.76,0.0,0.0
577,3805.77,0.0,0.0
578,3805.78,0.0,0.0
579,3805.79,0.0,0.0
580,3805.8,0.0,0.0
581,3805.81,0.0,0.0
582,3805.82,0.0,0.0
583,3805.83,0.0,0.0
584,3805.84,0.0,0.0
585,3805.85,0.0,0.0
586,3805.86,0.0,0.0
587,3805.87,0.0,0.0
588,3805.88,0.0,0.0
589,3805.89,0.0,0.0
590,3805.9,0.0,0.0
591,3805.91,0.0,0.0
592,3805.92,0.0,0.0
593,3805.93,0.0,0.0
594,3805.94,0.0,0.0
595,3805.95,0.0,0.0
596,3805.96,0.0,0.0
597,3805.97,0.0,0.0
598,3805.98,0.0,0.0
599,3805.99,0.0,0.0
600,3806.0,0.0,0.0
601,3806.01,0.0,0.0
602,3806.02,0.0,0.0
603,3806.03,0.0,0.0
604,3806.04,0.0,0.0
605,3806.05,0.0,0.0
606,3806.06,0.0,0.0
607,3806.07,0.0,0.0
608,3806.08,0.0,0.0
609,3806.09,0.0,0.0
610,3806.1,0.0,0.0
611,3806.11,0.0,0.0
612,3806.12,0.0,0.0
613,3806.13,0.0,0.0
614,3806.14,0.0,0.0
615,3806.15,0.0,0.0
616,3806.16,0.0,0.0
617,3806.17,0.0,0.0
618,3806.18,0.0,0.0
619,3806.19,0.0,0.0
620,3806.2,0.0,0.0
621,3806.21,0.0,0.0
622,3806.22,0.0,0.0
623,3806.23,0.0,0.0
624,3806.24,0.0,0.0
625,3806.25,0.0,0.0
626,3806.26,0.0,0.0
627,3806.27,0.0,0.0
628,3806.28,0.0,0.0
629,3806.29,0.0,0.0
630,3806.3,0.0,0.0
631,3806.31,0.0,0.0
632,3806.32,0.0,0.0
633,3806.33,0.0,0.0
634,3806.34,0.0,0.0
635,3806.35,0.0,0.0
636,3806.36,0.0,0.0
637,3806.37,0.0,0.0
638,3806.38,0.0,0.0
639,3806.39,0.0,0.0
640,3806.4,0.0,0.0
641,3806.41,0.0,0.0
642,3806.42,0.0,0.0
643,3806.43,0.0,0.0
644,3806.44,0.0,0.0
645,3806.45,0.0,0.0
646,3806.46,0.0,0.0
647,3806.47,0.0,0.0
648,3806.48,0.0,0.0
649,3806.49,0.0,0.0
650,3806.5,0.0,0.0
651,3806.51,0.0,0.0
652,3806.52,0.0,0.0
653,3806.53,0.0,0.0
654,3806.54,0.0,0.0
655,3806.55,0.0,0.0
656,3806.56,0.0,0.0
657,3806.57,0.0,0.0
658,3806.58,0.0,0.0
659,3806.59,0.0,0.0
660,3806.6,0.0,0.0
661,3806.61,0.0,0.0
662,3806.62,0.0,0.0
663,3806.63,0.0,0.0
664,3806.64,0.0,0.0
665,3806.65,0.0,0.0
666,3806.66,0.0,0.0
667,3806.67,0.0,0.0
668,3806.68,0.0,0.0
669,3806.69,0.0,0.0
670,3806.7,0.0,0.0
671,3806.71,0.0,0.0
672,3806.72,0.0,0.0
673,3806.73,0.0,0.0
674,3806.74,0.0,0.0
675,3806.75,0.0,0.0
676,3806.76,0.0,0.0
677,3806.77,0.0,0.0
678,3806.78,0.0,0.0
679,3806.79,0.0,0.0
680,3806.8,0.0,0.0
681,3806.81,0.0,0.0
682,3806.82,0.0,0.0
683,3806.83,0.0,0.0
684,3806.84,0.0,0.0
685,3806.85,0.0,0.0
686,3806.86,0.0,0.0
687,3806.87,0.0,0.0
688,3806.88,0.0,0.0
689,3806.89,0.0,0.0
690,3806.9,0.0,0.0
691,3806.91,0.0,0.0
692,3806.92,0.0,0.0
693,3806.93,0.0,0.0
694,3806.94,0.0,0.0
695,3806.95,0.0,0.0
696,3806.96,0.0,0.0
697,3806.97,0.0,0.0
698,3806.98,0.0,0.0
699,3806.99,0.0,0.0
700,3807.0,0.0,0.0
701,3807.01,0.0,0.0
702,3807.02,0.0,0.0
703,3807.03,0.0,0.0
704,3807.04,0.0,0.0
705,3807.05,0.0,0.0
706,3807.06,0.0,0.0
707,3807.07,0.0,0.0
708,3807.08,0.0,0.0
709,3807.09,0.0,0.0
710,3807.1,0.0,0.0
711,3807.11,0.0,0.0
712,3807.12,0.0,0.0
713,3807.13,0.0,0.0
714,3807.14,0.0,0.0
715,3807.15,0.0,0.0
716,3807.16,0.0,0.0
717,3807.17,0.0,0.0
718,3807.18,0.0,0.0
719,3807.19,0.0,0.0
720,3807.2,0.0,0.0
721,3807.21,0.0,0.0
722,3807.22,0.0,0.0
723,3807.23,0.0,0.0
724,3807.24,0.0,0.0
725,3807.25,0.0,0.0
726,3807.26,0.0,0.0
727,3807.27,0.0,0.0
728,3807.28,0.0,0.0
729,3807.29,0.0,0.0
730,3807.3,0.0,0.0
731,3807.31,0.0,0.0
732,3807.32,0.0,0.0
733,3807.33,0.0,0.0
734,3807.34,0.0,0.0
735,3807.35,0.0,0.0
736,3807.36,0.0,0.0
737,3807.37,0.0,0.0
738,3807.38,0.0,0.0
739,3807.39,0.0,0.0
740,3807.4,0.0,0.0
741,3807.41,0.0,0.0
742,3807.42,0.0,0.0
743,3807.43,0.0,0.0
744,3807.44,0.0,0.0
745,3807.45,0.0,0.0
746,3807.46,0.0,0.0
747,3807.47,0.0,0.0
748,3807.48,0.0,0.0
749,3807.49,0.0,0.0
750,3807.5,0.0,0.0
751,3807.51,0.0,0.0
752,3807.52,0.0,0.0
753,3807.53,0.0,0.0
754,3807.54,0.0,0.0
755,3807.55,0.0,0.0
756,3807.56,0.0,0.0
757,3807.57,0.0,0.0
758,3807.58,0.0,0.0
759,3807.59,0.0,0.0
760,3807.6,0.0,0.0
761,3807.61,0.0,0.0
762,3807.62,0.0,0.0
763,3807.63,0.0,0.0
764,3807.64,0.0,0.0
765,3807.65,0.0,0.0
766,3807.66,0.0,0.0
767,3807.67,0.0,0.0
768,3807.68,0.0,0.0
769,3807.69,0.0,0.0
770,3807.7,0.0,0.0
771,3807.71,0.0,0.0
772,3807.72,0.0,0.0
773,3807.73,0.0,0.0
774,3807.74,0.0,0.0
775,3807.75,0.0,0.0
776,3807.76,0.0,0.0
777,3807.77,0.0,0.0
778,3807.78,0.0,0.0
779,3807.79,0.0,0.0
780,3807.8,0.0,0.0
781,3807.81,0.0,0.0
782,3807.82,0.0,0.0
783,3807.83,0.0,0.0
784,3807.84,0.0,0.0
785,3807.85,0.0,0.0
786,3807.86,0.0,0.0
787,3807.87,0.0,0.0
788,3807.88,0.0,0.0
789,3807.89,0.0,0.0
790,3807.9,0.0,0.0
791,3807.91,0.0,0.0
792,3807.92,0.0,0.0
793,3807.93,0.0,0.0
794,3807.94,0.0,0.0
795,3807.95,0.0,0.0
796,3807.96,0.0,0.0
797,3807.97,0.0,0.0
798,3807.98,0.0,0.0
799,3807.99,0.0,0.0
800,3808.0,0.0,0.0
801,3808.01,0.0,0.0
802,3808.02,0.0,0.0
803,3808.03,0.0,0.0
804,3808.04,0.0,0.0
805,3808.05,0.0,0.0
806,3808.06,0.0,0.0
807,3808.07,0.0,0.0
808,3808.08,0.0,0.0
809,3808.09,0.0,0.0
810,3808.1,0.0,0.0
811,3808.11,0.0,0.0
812,3808.12,0.0,0.0
813,3808.13,0.0,0.0
814,3808.14,0.0,0.0
815,3808.15,0.0,0.0
816,3808.16,0.0,0.0
817,3808.17,0.0,0.0
818,3808.18,0.0,0.0
819,3808.19,0.0,0.0
820,3808.2,0.0,0.0
821,3808.21,0.0,0.0
822,3808.22,0.0,0.0
823,3808.23,0.0,0.0
824,3808.24,0.0,0.0
825,3808.25,0.0,0.0
826,3808.26,0.0,0.0
827,3808.27,0.0,0.0
828,3808.28,0.0,0.0
829,3808.29,0.0,0.0
830,3808.3,0.0,0.0
831,3808.31,0.0,0.0
832,3808.32,0.0,0.0
833,3808.33,0.0,0.0
834,3808.34,0.0,0.0
835,3808.35,0.0,0.0
836,3808.36,0.0,0.0
837,3808.37,0.0,0.0
838,3808.38,0.0,0.0
839,3808.39,0.0,0.0
840,3808.4,0.0,0.0
841,3808.41,0.0,0.0
842,3808.42,0.0,0.0
843,3808.43,0.0,0.0
844,3808.44,0.0,0.0
845,3808.45,0.0,0.0
846,3808.46,0.0,0.0
847,3808.47,0.0,0.0
848,3808.48,0.0,0.0
849,3808.49,0.0,0.0
850,3808.5,0.0,0.0
851,3808.51,0.0,0.0
852,3808.52,0.0,0.0
853,3808.53,0.0,0.0
854,3808.54,0.0,0.0
855,3808.55,0.0,0.0
856,3808.56,0.0,0.0
857,3808.57,0.0,0.0
858,3808.58,0.0,0.0
859,3808.59,0.0,0.0
860,3808.6,0.0,0.0
861,3808.61,0.0,0.0
862,3808.62,0.0,0.0
863,3808.63,0.0,0.0
864,3808.64,0.0,0.0
865,3808.65,0.0,0.0
866,3808.66,0.0,0.0
867,3808.67,0.0,0.0
868,3808.68,0.0,0.0
869,3808.69,0.0,0.0
870,3808.7,0.0,0.0
871,3808.71,0.0,0.0
