,vrad,ccf
0,-22.14092334640026,0.9686662649797397
1,-21.573227790296077,0.9722475931616671
2,-21.005531159102915,0.9754020288759484
3,-20.437833452761172,0.9775051959096551
4,-19.870134671390055,0.979418788444261
5,-19.302434814870356,0.9810622083158306
6,-18.73473388326168,0.9830536058855462
7,-18.167031876623632,0.9842512587149835
8,-17.599328794837,0.9853771684512748
9,-17.03162463796139,0.9872259466180283
10,-16.463919405937194,0.9885568595447695
11,-15.89621309888363,0.9890119176736858
12,-15.32850571668148,0.9891869740614282
13,-14.760797259330749,0.9895172078742084
14,-14.193087726950646,0.990266731308295
15,-13.625377119481563,0.9915852855869915
16,-13.057665436804294,0.992689651893188
17,-12.489952679038048,0.9933132623968981
18,-11.922238846182823,0.9941465224953835
19,-11.354523938179016,0.9940553969308149
20,-10.786807955086232,0.9923373681914686
21,-10.219090896844865,0.9894443382872302
22,-9.651372763454914,0.9852770622791309
23,-9.083653554975987,0.9792541019652449
24,-8.515933271348477,0.9710082574644193
25,-7.948211912631988,0.9595454630423075
26,-7.380489478707314,0.944122516364166
27,-6.812765969693661,0.9227305921836828
28,-6.245041385531425,0.8942043743272965
29,-5.677315726220607,0.8568078524277297
30,-5.109588991761208,0.8091973188201251
31,-4.54186118221283,0.7515304399021262
32,-3.9741322974562645,0.6846834935739498
33,-3.4064023375511168,0.612476608071095
34,-2.838671302497387,0.5401255963039274
35,-2.270939192354679,0.4715687849969239
36,-1.7032060070037842,0.41208984095558504
37,-1.1354717465043067,0.36673850081679993
38,-0.5677364107966423,0.3386697026514588
39,0.0,0.32913482606125016
40,0.5677374859452248,0.33970403449095504
41,1.1354760471582412,0.37004428497441405
42,1.703215683400631,0.41728692785991683
43,2.2709563949704172,0.4773930209358231
44,2.838698181569576,0.5468072760606951
45,3.4064410434365273,0.6194570584674722
46,3.9741849804520606,0.6889722214844729
47,4.5419299926161765,0.7529366073832006
48,5.109676079928875,0.8088445809481183
49,5.677423242509365,0.8555254514765736
50,6.2451714802384375,0.8927182609942492
51,6.812920793116093,0.9223359126106089
52,7.3806711812615395,0.9456142939337427
53,7.948422644555569,0.9631925704227083
54,8.516175183057785,0.9764146334099458
55,9.083928796708584,0.986477006896296
56,9.65168348556757,0.9935304708597196
57,10.219439249634743,0.997688267116418
58,10.787196088850498,0.9994010461470476
59,11.354954003393651,1.0
60,11.92271299302578,0.9990703010845302
61,12.490473057925701,0.9971184388772337
62,13.058234197974205,0.9941667145791794
63,13.625996413290501,0.9908379785639284
64,14.19375970375538,0.988086028232599
65,14.761524069488049,0.9851747444603307
66,15.329289510428906,0.9817524740278336
67,15.897056026637554,0.9784350236382621
68,16.464823617994785,0.9754708828315835
69,17.032592284560202,0.9736042755788156
70,17.600362026393412,0.9709622058628767
71,18.16813284343481,0.9666986966858285
72,18.735904735744,0.9632662258294848
73,19.30367770320177,0.9605449057137155
74,19.871451745927335,0.9569528770869999
75,20.439226863861084,0.9528174733271815
76,21.00700305712223,0.9493008865887118
77,21.57478032553196,0.9462539929999266
78,22.142558669269086,0.9438512558768425
