,vrad,ccf
0,-22.14266114062071,0.9785327385298263
1,-21.57492102885246,0.9801886180455716
2,-21.007179841816427,0.9828418584664985
3,-20.4394375795722,0.985728128556856
4,-19.87169424200058,0.9875823784163886
5,-19.303949829220773,0.9882526012768287
6,-18.73620434117317,0.9889006669019885
7,-18.168457777917386,0.9904878390015586
8,-17.600710139274597,0.9928158010379108
9,-17.032961425423622,0.9945973277393636
10,-16.465211636304854,0.9949836379488783
11,-15.897460771918297,0.9941381228893366
12,-15.329708832263947,0.9936016491841894
13,-14.761955817341805,0.9947792325030557
14,-14.194201727092267,0.9972170777680028
15,-13.626446561574936,0.9988966187386984
16,-13.058690320849418,0.9986755018984405
17,-12.4909330047369,0.9974328034620806
18,-11.923174613416196,0.9967649037795357
19,-11.355415146708488,0.9974214298569606
20,-10.787654604792595,0.9985286370865164
21,-10.219892987549304,0.9982840273726077
22,-9.652130295038223,0.9958807641977947
23,-9.08436652725935,0.991287059639016
24,-8.516601684093475,0.985036021912331
25,-7.948835765659809,0.9774236839045751
26,-7.381068771958351,0.9685413248480772
27,-6.813300702929497,0.9573264030000312
28,-6.245531558573246,0.9418551252080304
29,-5.677761338949203,0.9211314268403578
30,-5.109990043997764,0.8961785636225233
31,-4.5422176737189295,0.8687378713813292
32,-3.9744442281126977,0.8401133332330764
33,-3.4066697072386742,0.8107250755571728
34,-2.8388941109776495,0.78108638789738
35,-2.2711174394488336,0.7528539428367761
36,-1.7033396925926207,0.7283249579131816
37,-1.1355608704090119,0.7092115751899574
38,-0.5677809728384018,0.6970836829622175
39,0.0,0.6935758325755135
40,0.5677820481657981,0.6993217174731052
41,1.1355651716589927,0.7133039140978554
42,1.703349370598793,0.733123804613972
43,2.2711346447467804,0.7568846640073714
44,2.838920994281769,0.783696542914399
45,3.4067084192037584,0.8128709483247332
46,3.9744969193935393,0.8425166329633896
47,4.542286494910717,0.8705597611718644
48,5.110077145814896,0.8957097557640465
49,5.6778688721060755,0.9176149491627245
50,6.245661673724651,0.9365155202482275
51,6.813455550730229,0.9528450790170283
52,7.3812505030035975,0.9667472812070333
53,7.949046530723572,0.9776999888756958
54,8.516843633711337,0.9853718439085734
55,9.08464181214571,0.9902207989025611
56,9.652441065907478,0.9933088392732129
57,10.220241395056247,0.9956378204561234
58,10.788042799592018,0.9975613973533018
59,11.355845279455185,0.9990849139752689
60,11.923648834645748,1.0
61,12.491453465282918,0.9997260448110964
62,13.059259171247483,0.9983626317818961
63,13.627065952658652,0.9967996950978256
64,14.194873809456825,0.9960161418730747
65,14.762682741582394,0.9956513053567054
66,15.330492749094963,0.9947465422122809
67,15.898303832054138,0.9927314241526858
68,16.466115990281104,0.9898357832447627
69,17.033929224014283,0.9868224802747337
70,17.60174353313446,0.9845465292936124
71,18.16955891752243,0.9831864615335733
72,18.737375377416612,0.982428801545772
73,19.30519291269779,0.9818146702047134
74,19.87301152342558,0.9808171764043322
75,20.440831209480763,0.979134925028423
76,21.008651970922948,0.9770583535229587
77,21.57647380787134,0.9750305201251707
78,22.144296720087528,0.9733973101775437
