,wave,telluric
290,6252.9,1.0
291,6252.91,1.0
292,6252.92,1.0
293,6252.93,1.0
294,6252.94,1.0
295,6252.95,1.0
296,6252.96,1.0
297,6252.97,1.0
298,6252.98,1.0
299,6252.99,1.0
300,6253.0,1.0
301,6253.01,1.0
302,6253.02,1.0
303,6253.03,1.0
304,6253.04,1.0
305,6253.05,1.0
306,6253.06,1.0
307,6253.07,1.0
308,6253.08,1.0
309,6253.09,1.0
310,6253.1,1.0
311,6253.11,1.0
312,6253.12,1.0
313,6253.13,1.0
314,6253.14,1.0
315,6253.15,1.0
316,6253.16,1.0
317,6253.17,1.0
318,6253.18,1.0
319,6253.19,1.0
320,6253.2,1.0
321,6253.21,1.0
322,6253.22,1.0
323,6253.23,1.0
324,6253.24,1.0
325,6253.25,1.0
326,6253.26,1.0
327,6253.27,1.0
328,6253.28,1.0
329,6253.29,1.0
330,6253.3,1.0
331,6253.31,1.0
332,6253.32,1.0
333,6253.33,1.0
334,6253.34,1.0
335,6253.35,1.0
336,6253.36,1.0
337,6253.37,1.0
338,6253.38,1.0
339,6253.39,1.0
340,6253.4,1.0
341,6253.41,1.0
342,6253.42,1.0
343,6253.43,1.0
344,6253.44,1.0
345,6253.45,1.0
346,6253.46,1.0
347,6253.47,1.0
348,6253.48,1.0
349,6253.49,1.0
350,6253.5,1.0
351,6253.51,1.0
352,6253.52,1.0
353,6253.53,1.0
354,6253.54,1.0
355,6253.55,1.0
356,6253.56,1.0
357,6253.57,1.0
358,6253.58,1.0
359,6253.59,1.0
360,6253.6,1.0
361,6253.61,1.0
362,6253.62,1.0
363,6253.63,1.0
364,6253.64,1.0
365,6253.65,1.0
366,6253.66,1.0
367,6253.67,1.0
368,6253.68,1.0
369,6253.69,1.0
370,6253.7,1.0
371,6253.71,1.0
372,6253.72,1.0
373,6253.73,1.0
374,6253.74,1.0
375,6253.75,1.0
376,6253.76,1.0
377,6253.77,1.0
378,6253.78,1.0
379,6253.79,1.0
380,6253.8,1.0
381,6253.81,1.0
382,6253.82,1.0
383,6253.83,1.0
384,6253.84,1.0
385,6253.85,1.0
386,6253.86,1.0
387,6253.87,1.0
388,6253.88,1.0
389,6253.89,1.0
390,6253.9,1.0
391,6253.91,1.0
392,6253.92,1.0
393,6253.93,1.0
394,6253.94,1.0
395,6253.95,1.0
396,6253.96,1.0
397,6253.97,1.0
398,6253.98,1.0
399,6253.99,1.0
400,6254.0,1.0
401,6254.01,1.0
402,6254.02,1.0
403,6254.03,1.0
404,6254.04,1.0
405,6254.05,1.0
406,6254.06,1.0
407,6254.07,1.0
408,6254.08,1.0
409,6254.09,1.0
410,6254.1,1.0
411,6254.11,1.0
412,6254.12,1.0
413,6254.13,1.0
414,6254.14,1.0
415,6254.15,1.0
416,6254.16,1.0
417,6254.17,1.0
418,6254.18,1.0
419,6254.19,1.0
420,6254.2,1.0
421,6254.21,1.0
422,6254.22,1.0
423,6254.23,1.0
424,6254.24,1.0
425,6254.25,1.0
426,6254.26,1.0
427,6254.27,1.0
428,6254.28,1.0
429,6254.29,1.0
430,6254.3,1.0
431,6254.31,1.0
432,6254.32,1.0
433,6254.33,1.0
434,6254.34,1.0
435,6254.35,1.0
436,6254.36,1.0
437,6254.37,1.0
438,6254.38,1.0
439,6254.39,1.0
440,6254.4,1.0
441,6254.41,1.0
442,6254.42,1.0
443,6254.43,1.0
444,6254.44,1.0
445,6254.45,1.0
446,6254.46,1.0
447,6254.47,1.0
448,6254.48,1.0
449,6254.49,1.0
450,6254.5,1.0
451,6254.51,1.0
452,6254.52,1.0
453,6254.53,1.0
454,6254.54,1.0
455,6254.55,1.0
456,6254.56,1.0
457,6254.57,1.0
458,6254.58,1.0
459,6254.59,1.0
460,6254.6,1.0
461,6254.61,1.0
462,6254.62,1.0
463,6254.63,1.0
