,SOPHIE-HE,CORALIE98,CORALIE07,CORALIE14,ESPRESSO18,ESPRESSO19,HARPS03,HARPS15,HARPN,NEID,ESPRESSO,SOPHIE,VSINI
0,8.433691139029166,6.9343682698684255,6.55953755257824,6.55953755257824,4.872799324772407,4.872799324772407,5.060214683417499,5.060214683417499,5.060214683417499,5.060214683417499,4.803331297303265,5.833046322554029,0.0
1,8.433691139029166,6.9343682698684255,6.55953755257824,6.55953755257824,4.872799324772407,4.872799324772407,5.060214683417499,5.060214683417499,5.060214683417499,5.060214683417499,4.808224063357971,5.831513169065982,0.25
2,8.433691139029168,6.934368269868426,6.559537552578241,6.559537552578241,4.947765468230444,4.947765468230444,5.135180826875537,5.135180826875537,5.060214683417499,5.097697755146518,4.8578009895082515,5.8662232684205105,0.5
3,8.433691139029168,6.934368269868426,6.597020624307259,6.559537552578241,4.985248539959462,4.985248539959462,5.210146970333573,5.210146970333573,5.097697755146518,5.172663898604555,4.915704919482433,5.903927977503108,0.75
4,8.433691139029168,6.934368269868426,6.634503696036277,6.559537552578241,5.0602146834175,5.0602146834175,5.285113113791611,5.285113113791611,5.172663898604555,5.247630042062592,4.989881439197712,5.951865635746779,1.0
5,8.433691139029168,6.971851341597445,6.709469839494315,6.597020624307259,5.172663898604555,5.172663898604555,5.360079257249648,5.360079257249648,5.247630042062592,5.322596185520629,5.084797064573582,6.01961193917404,1.25
6,8.471174210758186,7.009334413326463,6.784435982952353,6.671986767765296,5.247630042062592,5.247630042062592,5.4350454007076845,5.472528472436703,5.322596185520629,5.4350454007076845,5.174057818628923,6.094722461989943,1.5
7,8.508657282555099,7.084300556842063,6.859402126465,6.746952911277944,5.397562329024422,5.397562329024422,5.547494615940496,5.5849776876695145,5.472528472482459,5.547494615940496,5.30995434176492,6.201152946786868,1.75
8,8.583623426082507,7.159266700357663,6.971851341709619,6.821919054790592,5.547494615986252,5.547494615986252,5.659943831174783,5.697426902903802,5.58497768771527,5.622460759444289,5.428637391922771,6.306248271044723,2.0
9,8.658589569609916,7.234232843873264,7.084300556954238,6.934368270033735,5.734909974680051,5.734909974680051,5.809876118139564,5.847359189868582,5.697426902949557,5.77239304640907,5.593578220533605,6.439418742234673,2.25
