,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE
0,5.014839073921872,6.5453077771271335,4.8958245543681675,5.12303409169796,5.166312098808399,0.0,4.8958245543681675,6.5453077771271335,6.5453077771271335,6.5453077771271335
1,5.017588780693073,6.551861973586377,4.901988757366074,5.126593847197016,5.1715755497917995,0.0484949832775919,4.901988757366074,6.551861973586377,6.551861973586377,6.551861973586377
2,5.020886589176468,6.558389605413709,4.9080209200907285,5.130475546178326,5.176843514043739,0.0969899665551839,4.9080209200907285,6.558389605413709,6.558389605413709,6.558389605413709
3,5.024728288620846,6.564909207991134,4.913978952191707,5.134693803016552,5.182153768408634,0.1454849498327759,4.913978952191707,6.564909207991134,6.564909207991134,6.564909207991134
4,5.02910966827499,6.571438707891051,4.919920763318579,5.139263232086347,5.187544089730888,0.1939799331103679,4.919920763318579,6.571438707891051,6.571438707891051,6.571438707891051
5,5.034026517387687,6.577995436000718,4.925904263120921,5.144198447762374,5.193052254854911,0.2424749163879598,4.925904263120921,6.577995436000718,6.577995436000718,6.577995436000718
6,5.039474625207721,6.584596140469917,4.931987361248305,5.149514064419288,5.1987160406251105,0.2909698996655518,4.931987361248305,6.584596140469917,6.584596140469917,6.584596140469917
7,5.045449780983879,6.591256999482927,4.938227967350306,5.15522469643175,5.204573223885896,0.3394648829431438,4.938227967350306,6.591256999482927,6.591256999482927,6.591256999482927
8,5.051947773964945,6.597993633855861,4.9446839910764995,5.161344958174418,5.210661581481677,0.3879598662207358,4.9446839910764995,6.597993633855861,6.597993633855861,6.597993633855861
9,5.058964393399704,6.604821119460469,4.951413342076456,5.16788946402195,5.21701889025686,0.4364548494983278,4.951413342076456,6.604821119460469,6.604821119460469,6.604821119460469
10,5.066495428536946,6.611753999475479,4.958473929999751,5.174872828349007,5.223682927055854,0.4849498327759197,4.958473929999751,6.611753999475479,6.611753999475479,6.611753999475479
11,5.074536668625453,6.618806296466551,4.965923664495959,5.182309665530244,5.230691468723068,0.5334448160535117,4.965923664495959,6.618806296466551,6.618806296466551,6.618806296466551
12,5.0830839029140105,6.625991524295943,4.973820455214652,5.190214589940321,5.238082292102907,0.5819397993311037,4.973820455214652,6.625991524295943,6.625991524295943,6.625991524295943
13,5.092132920651404,6.633322699862952,4.982222211805405,5.198602215953898,5.245893174039784,0.6304347826086957,4.982222211805405,6.633322699862952,6.633322699862952,6.633322699862952
14,5.10167951108642,6.640812354676221,4.9911868439177915,5.207487157945629,5.254161891378105,0.6789297658862876,4.9911868439177915,6.640812354676221,6.640812354676221,6.640812354676221
15,5.111719463467844,6.648472546258991,5.000772261201385,5.216884030290179,5.262926220962281,0.7274247491638797,5.000772261201385,6.648472546258991,6.648472546258991,6.648472546258991
16,5.12224856704446,6.656314869388379,5.011036373305761,5.2268074473622015,5.272223939636716,0.7759197324414716,5.011036373305761,6.656314869388379,6.656314869388379,6.656314869388379
17,5.133262611065055,6.664350467169765,5.022037089880491,5.237272023536357,5.282092824245822,0.8244147157190636,5.022037089880491,6.664350467169765,6.664350467169765,6.664350467169765
18,5.144757384778415,6.672590041947368,5.033832320575149,5.2482923731873035,5.292570651634007,0.8729096989966556,5.033832320575149,6.672590041947368,6.672590041947368,6.672590041947368
19,5.156728677433324,6.681043866052087,5.04647997503931,5.2598831106897,5.303695198645679,0.9214046822742477,5.04647997503931,6.681043866052087,6.681043866052087,6.681043866052087
