,star,jdb,Xlum,Xlum_std,ins,source,flag,finch_offset
0,HD128620,49933.077996421474,3.4478064706928775,0.5,Xlum,Ayres+14,0,0
1,HD128620,50135.64818024255,3.315172573187806,0.5,Xlum,Ayres+14,0,0
2,HD128620,50313.25649913347,3.888846665305572,0.5,Xlum,Ayres+14,0,0
3,HD128620,50857.64818162668,3.8946152742500333,0.5,Xlum,Ayres+14,0,0
4,HD128620,53655.662054087225,1.3675773394554256,0.5,Xlum,Ayres+14,0,0
5,HD128620,53858.08838821497,1.289071540548613,0.5,Xlum,Ayres+14,0,0
6,HD128620,54085.81802426344,1.2395676178303459,0.5,Xlum,Ayres+14,0,0
7,HD128620,54288.24436741759,1.3165100011161055,0.5,Xlum,Ayres+14,0,0
8,HD128620,54427.41247833619,1.4260717775408416,0.5,Xlum,Ayres+14,0,0
9,HD128620,54604.91508238261,1.426760166875265,0.5,Xlum,Ayres+14,0,0
10,HD128620,54820.58233356995,1.456275741310099,0.5,Xlum,Ayres+14,0,0
11,HD128620,54972.43327556326,1.2929878633898801,0.5,Xlum,Ayres+14,0,0
12,HD128620,55174.85961871757,1.4576820192581992,0.5,Xlum,Ayres+14,0,0
13,HD128620,55314.02772963609,1.9651672374021483,0.5,Xlum,Ayres+14,0,0
14,HD128620,55491.15077989608,1.518145295250315,0.5,Xlum,Ayres+14,0,0
15,HD128620,55718.88041594447,2.04717444614983,0.5,Xlum,Ayres+14,0,0
16,HD128620,55933.97746989147,1.7821424006021105,0.5,Xlum,Ayres+14,0,0
17,HD128620,56086.213176612044,2.5001747464216972,0.5,Xlum,Ayres+14,0,0
18,HD128620,56263.82148954518,3.0518368656659662,0.5,Xlum,Ayres+14,0,0
19,HD128620,56478.9792027731,2.7101105204338163,0.5,Xlum,Ayres+14,0,0
20,HD128620,56630.798960138694,3.1788624720078333,0.5,Xlum,Ayres+14,0,0
21,HD128620,53667.17024850071,1.4752549104609396,0.5,Xlum,Ayres+23,0,0
22,HD128620,53855.59925862283,1.426219095098373,0.5,Xlum,Ayres+23,0,0
23,HD128620,54076.97716588325,1.4761964959101836,0.5,Xlum,Ayres+23,0,0
24,HD128620,54257.37438046608,1.5278277128667699,0.5,Xlum,Ayres+23,0,0
25,HD128620,54437.56617804311,1.4520577022526275,0.5,Xlum,Ayres+23,0,0
26,HD128620,54618.523921365915,1.5952494121018466,0.5,Xlum,Ayres+23,0,0
27,HD128620,54799.168204854555,1.4905067268418415,0.5,Xlum,Ayres+23,0,0
28,HD128620,54987.74854332137,1.4782889641501182,0.5,Xlum,Ayres+23,0,0
29,HD128620,55168.330633209654,1.651992980240098,0.5,Xlum,Ayres+23,0,0
30,HD128620,55308.2812393305,2.133853389790522,0.5,Xlum,Ayres+23,0,0
