,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE,SOPHIE-HE
0,5.2233001410835405,6.777870294013297,5.118943986845279,5.338641153662671,5.371595728685281,0.0,5.118943986845279,6.777870294013297,6.777870294013297,6.777870294013297,7.890927841404592
1,5.227552047584396,6.785224237167927,5.12331286109391,5.342995067767482,5.376351348452685,0.0484949832775919,5.12331286109391,6.785224237167927,6.785224237167927,6.785224237167927,7.896236903604075
2,5.232098697908567,6.792569794581532,5.128081729353731,5.347634415612389,5.381269560509759,0.0969899665551839,5.128081729353731,6.792569794581532,6.792569794581532,6.792569794581532,7.901542661407296
3,5.236958379709292,6.799925756157157,5.13326312410852,5.352572935342183,5.386377297083009,0.1454849498327759,5.13326312410852,6.799925756157157,6.799925756157157,6.799925756157157,7.9068586833889185
4,5.242149380639803,6.80731030751094,5.13886957784205,5.357824365101644,5.391701490398929,0.1939799331103679,5.13886957784205,6.80731030751094,6.80731030751094,6.80731030751094,7.912198129169651
5,5.2476899883533346,6.814741042466374,5.144913623038097,5.363402443035561,5.397269072684016,0.2424749163879598,5.144913623038097,6.814741042466374,6.814741042466374,6.814741042466374,7.917573757389729
6,5.2535984905031174,6.822234975384138,5.151407792180436,5.369320907288719,5.4031069761647705,0.2909698996655518,5.151407792180436,6.822234975384138,6.822234975384138,6.822234975384138,7.922997933744579
7,5.259893174742393,6.82980855332847,5.1583646177528415,5.375593496005909,5.409242133067691,0.3394648829431438,5.1583646177528415,6.82980855332847,6.82980855332847,6.82980855332847,7.928482639063336
8,5.266592328724391,6.837477668071127,5.165796632239092,5.38223394733191,5.415701475619277,0.3879598662207358,5.165796632239092,6.837477668071127,6.837477668071127,6.837477668071127,7.934039477412176
9,5.273714240102346,6.845257667933908,5.173716368122957,5.389255999411512,5.422511936046022,0.4364548494983278,5.173716368122957,6.845257667933908,6.845257667933908,6.845257667933908,7.939679684205814
10,5.2812771965294925,6.85316336947076,5.182136357888216,5.396673390389502,5.429700446574429,0.4849498327759197,5.182136357888216,6.85316336947076,6.85316336947076,6.85316336947076,7.945414134311731
11,5.2892994856590665,6.861209068990476,5.191069134018644,5.404499858410665,5.437293939430996,0.5334448160535117,5.191069134018644,6.861209068990476,6.861209068990476,6.861209068990476,7.951253350132836
