,SOPHIE-HE,CORALIE98,CORALIE07,CORALIE14,ESPRESSO18,ESPRESSO19,HARPS03,HARPS15,HARPN,NEID,ESPRESSO,SOPHIE,FEROS,VSINI
0,9.280659567113252,8.144252273181017,7.765449841870273,7.765449841870273,6.250240116627293,6.250240116627293,6.439641332282665,6.439641332282665,6.439641332282665,6.439641332282665,6.213686062883707,7.109224880680273,8.522556633353233,0.0
1,9.280659567113252,8.144252273181017,7.765449841870273,7.765449841870273,6.250240116627293,6.250240116627293,6.439641332282665,6.439641332282665,6.439641332282665,6.439641332282665,6.224407240460156,7.108216850140568,8.522556633353233,0.25
2,9.280659567113252,8.144252273181017,7.765449841870273,7.765449841870273,6.363880846020518,6.401761089151592,6.515401818544816,6.515401818544816,6.439641332282666,6.515401818544816,6.299016377192898,7.157947539885586,8.522556633353233,0.5
3,9.280659567113252,8.144252273181017,7.841210328132422,7.765449841870273,6.439641332282666,6.477521575413741,6.55328206167589,6.55328206167589,6.477521575413741,6.55328206167589,6.35075320765314,7.193139335838077,8.901336928168934,0.75
4,9.280659567113252,8.144252273181017,7.916970814394571,7.841210328132422,6.515401818544815,6.55328206167589,6.629042547938038,6.629042547938038,6.515401818544816,6.591162304806964,6.419591523218476,7.24652495268417,8.901336928168934,1.0
5,9.356420053375402,8.144252273181017,7.992731300656719,7.916970814394571,6.666922791069113,6.704803034200188,6.704803034200187,6.7426832773312615,6.591162304806963,6.704803034200188,6.534369932031966,7.337794580927265,8.901336928168934,1.25
6,9.432180539637551,8.220012759443167,8.06849178691887,7.992731300656719,6.780563520462336,6.780563520462336,6.780563520462336,6.818443763593411,6.704803034200187,6.780563520462336,6.618565377276433,7.419309265649161,8.901336928168934,1.5
7,9.50794102605001,8.295773245837943,8.220012759575793,8.0684917870456,6.932084493101578,6.932084493101578,6.894204249967555,6.93208449309863,6.81844376370246,6.8563240068335345,6.743646509642048,7.528512526721916,8.901336928168934,1.75
8,9.583701512462468,8.371533732232718,8.295773245970569,8.220012759702525,7.083605465740819,7.083605465740819,7.045725222606797,7.083605465737872,6.9699647363417006,7.007844979472775,6.89690110096275,7.661585552367626,9.280117222984632,2.0
9,9.735222485142971,8.523054704895538,8.371533732365345,8.295773246097301,7.310886924648103,7.310886924648103,7.159365952114963,7.197246195246038,7.121485708980941,7.159365952112016,7.060282098568036,7.804910357678857,9.280082044998805,2.25
10,9.810982971729649,8.674575677707626,8.523054705177433,8.447294218909388,7.462407897423451,7.462407897423451,7.348767168021385,7.348767168021385,7.310886924887364,7.310886924887364,7.234914126255955,7.95846470140639,9.280082044998805,2.5
11,9.924623701453523,8.826096650531959,8.67457567798952,8.598815191721476,7.689689356473195,7.689689356473195,7.538168383933931,7.538168383933931,7.50028814079991,7.50028814079991,7.447278851999856,8.138710086820296,9.469471474488575,2.75
12,10.076144674164286,8.977617623223665,8.826096650681226,8.826096650681226,7.916970815420242,7.916970815420242,7.727569599740605,7.727569599740605,7.727569599740605,7.727569599740605,7.667281255197416,8.33600272623325,9.658824291169644,3.0
13,10.22766564696119,9.204899082269645,9.015497866588442,8.977617623449678,8.220012760715296,8.220012760715296,7.954851058758131,7.954851058758131,7.954851058758131,7.954851058758131,7.931611017901476,8.558690180659852,9.848213002761206,3.25
14,10.37918661976758,9.35642005504758,9.24277932563442,9.204899082495656,8.447294219742306,8.447294219742306,8.22001276091442,8.22001276091442,8.22001276091442,8.22001276091442,8.187355823334073,8.787138625669488,10.037601714352768,3.5
15,10.6064680788841,9.58370151413427,9.470060784721111,9.432180541582348,8.826096651367843,8.826096651367843,8.48517446311345,8.48517446311345,8.48517446311345,8.48517446311345,8.492032842984639,9.05970937491421,10.416359394788742,3.75
16,10.795869294863424,9.810982973230905,9.735222486949972,9.659462000669038,9.129138596718985,9.129138596718985,8.750336165317451,8.750336165317451,8.750336165317451,8.750336165317451,8.779132372765757,9.318902431062154,10.416359394788742,4.0
17,11.023150753989889,10.076144675469708,9.962503946046604,9.886743459765672,9.47006078522224,9.47006078522224,9.053378110668596,9.053378110668596,9.053378110668596,9.053378110668596,9.099396029967169,9.606370542431062,10.795095179855824,4.25
18,11.250432213250402,10.303426134702162,10.227665648417824,10.189785405275654,9.77310273071819,9.81098297386397,9.318539813004731,9.318539813004731,9.318539813004731,9.318539813004731,9.39100657435921,9.87719581308051,10.984482814590136,4.5
19,11.477713672524947,10.606468080226172,10.530707593941832,10.492827350799663,10.227665648797258,10.265545891943036,9.62158175849367,9.659462001639447,9.659462001639447,9.62158175849367,9.769854875699393,10.210652334884715,11.173870449324447,4.75
20,11.70499513185556,10.909510025811734,10.833749539527394,10.757989053235708,10.606468080667158,10.644348323812938,9.924623704042492,9.962503947188273,9.962503947188273,9.924623704042492,10.105100054260612,10.517132859611834,11.552601927002272,5.0
21,12.008037077485206,11.21255197141199,11.17467172826982,11.098911241970786,11.061030998836094,11.098911241981872,10.26554589274818,10.30342613589396,10.341306379043475,10.26554589274818,10.494079660223,10.87753185540102,11.931375760674477,5.25
22,12.23531853696089,11.51559391714413,11.477713673992668,11.401953187693634,11.477713674004034,11.515593917149817,10.606468081585318,10.644348324731096,10.682228567880612,10.606468081585318,10.867797450975642,11.209374417851874,12.120716733296712,5.5
23,12.53836048251931,11.856516105831275,11.780755619528351,11.704995133229318,11.932276592134205,11.932276592134205,10.985270513395507,11.023150756541288,11.061030999690804,10.985270513395507,11.267084253463183,11.57544403263852,12.310102932254475,5.75
