,SOPHIE-HE,CORALIE98,CORALIE07,CORALIE14,ESPRESSO18,ESPRESSO19,HARPS03,HARPS15,HARPN,NEID,ESPRESSO,SOPHIE,FEROS,VSINI
0,8.106961662525983,6.448719504282032,6.448719504282032,6.26447037558826,4.606228217344309,4.606228217344309,4.974726474731853,4.974726474731853,4.790477346038081,4.790477346038081,4.582188415044901,5.5824535267914115,7.1852864878177645,0.0
1,8.106961662525983,6.448719504282032,6.448719504282032,6.26447037558826,4.606228217344309,4.606228217344309,4.974726474731853,4.974726474731853,4.790477346038081,4.790477346038081,4.599620951987154,5.579364466417472,7.1852864878177645,0.25
2,8.180661314003492,6.5224191557595415,6.448719504282032,6.338170027065768,4.679927868821818,4.679927868821818,4.974726474731853,4.974726474731853,4.864176997515591,4.864176997515591,4.638282165629932,5.634378218674437,7.1852864878177645,0.5
3,8.217511139742248,6.59611880723705,6.448719504282032,6.375019852804523,4.753627520299327,4.753627520299327,5.011576300470608,5.011576300470608,4.901026823254345,4.937876648993099,4.696916272343097,5.6823902748662505,7.1852864878177645,0.75
4,8.254360965481002,6.669818458714559,6.448719504282032,6.411869678543277,4.827327171776836,4.827327171776836,5.048426126209362,5.085275951948117,4.937876648993099,5.011576300470608,4.757266143202677,5.735191153276691,7.1852864878177645,1.0
5,8.291210791219758,6.743518110192069,6.485569330020787,6.448719504282032,4.974726474731854,4.974726474731854,5.122125777686871,5.158975603425626,5.048426126209363,5.085275951948116,4.861515832831586,5.816924975871252,7.553762717962265,1.25
6,8.291210791219758,6.7803679359308235,6.559268981498296,6.448719504282032,5.085275951948117,5.085275951948117,5.195825429164381,5.2326752549031355,5.122125777686872,5.158975603425626,4.950090495152534,5.880223090015214,7.553762717962265,1.5
7,8.29121079134505,6.8172177617725955,6.632968633078822,6.48556933012102,5.232675254986662,5.232675254986662,5.306374906464171,5.343224732202926,5.195825429245124,5.269525080725417,5.0791233256900945,5.966702106018587,7.553762717962265,1.75
8,8.29121079147034,6.89091741335869,6.706668284659349,6.559268981701546,5.380074558027992,5.380074558027992,5.416924383766747,5.453774209505501,5.343224732286454,5.380074558027992,5.216384760754639,6.068438370801899,7.553762717962265,2.0
9,8.328060617337169,6.964617064944785,6.780367936239875,6.632968633282073,5.5643236868108605,5.601173512552399,5.527473861069322,5.527473861069322,5.490624035327784,5.527473861072107,5.371227720909931,6.183578472329738,7.553734863638878,2.25
10,8.401760269085123,7.038316716646705,6.890917413680549,6.780367936461501,5.711722989955764,5.748572815697303,5.674873164214226,5.674873164214226,5.638023338472687,5.674873164211256,5.528849486470064,6.313716640805216,7.553734863638878,2.5
11,8.475459920833076,7.1488661940931335,6.964617065382469,6.92776723964093,5.932821944589686,5.969671770331225,5.82227246735913,5.82227246735913,5.785422641617591,5.859122293100669,5.714424637984147,6.461717866392175,7.922209735035897,2.75
12,8.549159572455737,7.296265497181054,7.112016368470389,7.038316716981371,6.1539208991458345,6.190770724887373,6.00652159617077,6.00652159617077,6.00652159617077,6.006521596167801,5.914045125374277,6.628368930492188,7.922180521110693,3.0
13,8.622859224150087,7.369965148848432,7.259415671620846,7.185716020131828,6.375019853761388,6.411869679502926,6.190770725040289,6.227620550786322,6.1539208992942545,6.19077072503732,6.117306046151166,6.790246384273413,7.922180521110693,3.25
14,8.696558875848933,7.517364452007878,7.406814974771302,7.333115323282284,6.63296863412747,6.63296863412747,6.411869679655842,6.4487195054018756,6.375019853909808,6.411869679657367,6.354820988697433,6.9777264330120925,8.290654033720493,3.5
15,8.770258527570565,7.664763755190044,7.554214277953466,7.4805146264644495,6.9277672402781745,6.9277672402781745,6.632968634308035,6.66981846005407,6.596118808562002,6.632968634304814,6.608419448736672,7.177125028495751,8.290638747811318,3.75
16,8.843958179292196,7.849012884126212,7.701613581135632,7.627913929646615,7.185716020689118,7.185716020689118,6.85406758896023,6.890917414706263,6.817217763214196,6.854067588961755,6.8501441027385725,7.371822041939771,8.290638747811318,4.0
17,8.954507656763084,7.9964121873178735,7.849012884327293,7.849012884327293,7.44366480110481,7.44366480110481,7.0751665436219175,7.112016369367951,7.038316717875884,7.148866195117208,7.10252977870991,7.581696986385552,8.659079649547737,4.25
18,9.10190696007957,8.21751114210036,7.99641218760468,7.99641218760468,7.738463407366332,7.738463407366332,7.333115324124373,7.333115324124373,7.333115324124373,7.369965149867111,7.365556213354959,7.806948658972689,8.659079649547737,4.5
19,9.249306263402572,8.36491044539078,8.217511142387167,8.217511142387167,8.033262013640888,8.033262013640888,7.591064104633345,7.627913930385895,7.627913930385895,7.59106410463005,7.645281813597623,8.048348295624463,9.027551123996576,4.75
