,rjd,berv,snr,RA,DEC,berv_computed,fileroot
0,58182.89509866014,21.370147,171.4,,,21.375,/Users/cretignier/Documents/Snaky/MY_STAR/data/s1d/ESPRESSO_3.3.1/RAW/r.ESPRE.2018-03-05T09:26:14.489_S1D_A.fits
1,60044.70095827989,14.343058,343.5,219.896096,-60.837528,14.3521,/Users/cretignier/Documents/Snaky/MY_STAR/data/s1d/ESPRESSO_3.3.1/RAW/r.ESPRE.2023-04-10T04:43:26.345_S1D_A.fits
